date,cereals_price,avg_precipitation,avg_max_temp,price_lag_1,price_lag_2,price_lag_3,price_lag_6,price_lag_12,target_next_price
1994-12,62.7,1.19247311827957,7.065591397849462,61.1,61.7,60.2,60.1,68.9,62.9
1995-01,62.9,1.4118279569892473,4.648387096774194,62.7,61.1,61.7,56.0,68.6,62.5
1995-02,62.5,1.7452380952380953,9.583333333333334,62.9,62.7,61.1,57.5,66.8,62.2
1995-03,62.2,1.5451612903225809,14.055913978494624,62.5,62.9,62.7,60.2,64.1,62.7
1995-04,62.7,2.7111111111111112,19.628888888888888,62.2,62.5,62.9,61.7,62.4,64.9
1995-05,64.9,2.6301075268817202,26.2247311827957,62.7,62.2,62.5,61.1,62.0,69.1
1995-06,69.1,3.651111111111111,30.371111111111112,64.9,62.7,62.2,62.7,60.1,74.0
1995-07,74.0,3.747311827956989,29.289247311827957,69.1,64.9,62.7,62.9,56.0,72.6
1995-08,72.6,5.148387096774194,28.394623655913975,74.0,69.1,64.9,62.5,57.5,75.9
1995-09,75.9,5.21,24.37333333333333,72.6,74.0,69.1,62.2,60.2,80.2
1995-10,80.2,0.6473118279569893,20.204301075268816,75.9,72.6,74.0,62.7,61.7,80.5
1995-11,80.5,1.0422222222222222,11.437777777777779,80.2,75.9,72.6,64.9,61.1,82.7
1995-12,82.7,0.5182795698924731,6.006451612903226,80.5,80.2,75.9,69.1,62.7,83.3
1996-01,83.3,1.4946236559139785,2.881720430107527,82.7,80.5,80.2,74.0,62.9,85.7
1996-02,85.7,2.2264367816091952,6.072413793103448,83.3,82.7,80.5,72.6,62.5,86.9
1996-03,86.9,1.3774193548387097,11.132258064516128,85.7,83.3,82.7,75.9,62.2,95.3
1996-04,95.3,1.3477777777777777,21.116666666666667,86.9,85.7,83.3,80.2,62.7,100.0
1996-05,100.0,3.8623655913978494,27.053763440860216,95.3,86.9,85.7,80.5,64.9,94.3
1996-06,94.3,3.9211111111111108,28.50111111111111,100.0,95.3,86.9,82.7,69.1,91.1
1996-07,91.1,3.0204301075268813,28.53333333333333,94.3,100.0,95.3,83.3,74.0,85.8
1996-08,85.8,4.034408602150537,27.277419354838713,91.1,94.3,100.0,85.7,72.6,75.3
1996-09,75.3,2.9488888888888884,22.765555555555558,85.8,91.1,94.3,86.9,75.9,71.1
1996-10,71.1,1.189247311827957,19.770967741935486,75.3,85.8,91.1,95.3,80.2,67.4
1996-11,67.4,1.3633333333333333,13.23111111111111,71.1,75.3,85.8,100.0,80.5,67.6
1996-12,67.6,0.4612903225806452,6.369892473118279,67.4,71.1,75.3,94.3,82.7,68.1
1997-01,68.1,0.7365591397849462,3.806451612903226,67.6,67.4,71.1,91.1,83.3,68.4
1997-02,68.4,1.2238095238095237,8.132142857142858,68.1,67.6,67.4,85.8,85.7,70.6
1997-03,70.6,1.0161290322580645,14.363440860215054,68.4,68.1,67.6,75.3,86.9,70.8
1997-04,70.8,3.232222222222222,17.647777777777776,70.6,68.4,68.1,71.1,95.3,68.8
1997-05,68.8,2.3806451612903228,25.017204301075267,70.8,70.6,68.4,67.4,100.0,65.2
1997-06,65.2,3.5188888888888887,28.612222222222222,68.8,70.8,70.6,67.6,94.3,62.4
1997-07,62.4,5.453763440860215,28.353763440860217,65.2,68.8,70.8,68.1,91.1,65.7
1997-08,65.7,4.963440860215054,26.670967741935485,62.4,65.2,68.8,68.4,85.8,65.1
1997-09,65.1,2.328888888888889,23.892222222222223,65.7,62.4,65.2,70.6,75.3,65.6
1997-10,65.6,2.5150537634408603,18.14301075268817,65.1,65.7,62.4,70.8,71.1,64.2
1997-11,64.2,1.4855555555555555,11.41,65.6,65.1,65.7,68.8,67.4,63.4
1997-12,63.4,1.524731182795699,5.431182795698924,64.2,65.6,65.1,65.2,67.6,62.7
1998-01,62.7,0.6021505376344086,6.49247311827957,63.4,64.2,65.6,62.4,68.1,62.7
1998-02,62.7,2.011904761904762,10.275,62.7,63.4,64.2,65.7,68.4,63.2
1998-03,63.2,3.567741935483871,10.78494623655914,62.7,62.7,63.4,65.1,70.6,60.8
1998-04,60.8,2.5833333333333335,21.317777777777778,63.2,62.7,62.7,65.6,70.8,60.2
1998-05,60.2,1.938709677419355,27.48494623655914,60.8,63.2,62.7,64.2,68.8,59.0
1998-06,59.0,3.102222222222222,29.58888888888889,60.2,60.8,63.2,63.4,65.2,57.5
1998-07,57.5,6.889247311827957,28.718279569892474,59.0,60.2,60.8,62.7,62.4,54.1
1998-08,54.1,3.3591397849462368,28.072043010752687,57.5,59.0,60.2,62.7,65.7,53.9
1998-09,53.9,2.473333333333333,25.98777777777778,54.1,57.5,59.0,63.2,65.1,57.7
1998-10,57.7,2.6247311827956987,19.616129032258065,53.9,54.1,57.5,60.8,65.6,58.2
1998-11,58.2,1.3666666666666667,12.387777777777778,57.7,53.9,54.1,60.2,64.2,56.8
1998-12,56.8,0.23763440860215054,7.183870967741936,58.2,57.7,53.9,59.0,63.4,57.1
1999-01,57.1,1.6795698924731182,4.703225806451614,56.8,58.2,57.7,57.5,62.7,54.9
1999-02,54.9,1.0035714285714286,10.003571428571428,57.1,56.8,58.2,54.1,62.7,55.2
1999-03,55.2,1.0516129032258064,14.546236559139784,54.9,57.1,56.8,53.9,63.2,53.7
1999-04,53.7,2.6211111111111114,23.232222222222223,55.2,54.9,57.1,57.7,60.8,52.8
1999-05,52.8,2.817204301075269,25.65806451612903,53.7,55.2,54.9,58.2,60.2,53.6
1999-06,53.6,1.8566666666666667,30.185555555555553,52.8,53.7,55.2,56.8,59.0,51.4
1999-07,51.4,3.1344086021505375,30.96021505376344,53.6,52.8,53.7,57.1,57.5,53.0
1999-08,53.0,2.974193548387097,28.104301075268815,51.4,53.6,52.8,54.9,54.1,52.6
1999-09,52.6,1.4477777777777778,25.56111111111111,53.0,51.4,53.6,55.2,53.9,51.5
1999-10,51.5,0.6279569892473118,20.97741935483871,52.6,53.0,51.4,53.7,57.7,51.3
1999-11,51.3,1.3355555555555556,14.795555555555554,51.5,52.6,53.0,52.8,58.2,50.4
1999-12,50.4,0.9279569892473118,8.946236559139784,51.3,51.5,52.6,53.6,56.8,52.1
2000-01,52.1,1.3419354838709676,5.549462365591398,50.4,51.3,51.5,51.4,57.1,52.2
2000-02,52.2,2.013793103448276,9.227586206896552,52.1,50.4,51.3,53.0,54.9,51.7
2000-03,51.7,1.0666666666666667,14.979569892473117,52.2,52.1,50.4,52.6,55.2,51.8
2000-04,51.8,1.3922222222222222,23.816666666666666,51.7,52.2,52.1,51.5,53.7,52.8
2000-05,52.8,2.5451612903225804,27.73978494623656,51.8,51.7,52.2,51.3,52.8,51.4
2000-06,51.4,3.2866666666666666,28.439999999999998,52.8,51.8,51.7,50.4,53.6,49.8
2000-07,49.8,4.006451612903226,28.34731182795699,51.4,52.8,51.8,52.1,51.4,48.6
2000-08,48.6,2.096774193548387,29.441935483870967,49.8,51.4,52.8,52.2,53.0,49.4
2000-09,49.4,2.253333333333333,25.013333333333332,48.6,49.8,51.4,51.7,52.6,51.2
2000-10,51.2,0.4935483870967742,21.870967741935484,49.4,48.6,49.8,51.8,51.5,52.1
2000-11,52.1,0.8355555555555556,13.027777777777779,51.2,49.4,48.6,52.8,51.3,53.7
2000-12,53.7,0.743010752688172,5.502150537634408,52.1,51.2,49.4,51.4,50.4,53.9
2001-01,53.9,1.0462365591397849,5.898924731182796,53.7,52.1,51.2,49.8,52.1,53.0
2001-02,53.0,1.438095238095238,7.252380952380953,53.9,53.7,52.1,48.6,52.2,52.2
2001-03,52.2,1.7268817204301075,13.480645161290322,53.0,53.9,53.7,49.4,51.7,51.0
2001-04,51.0,2.67,22.793333333333333,52.2,53.0,53.9,51.2,51.8,51.7
2001-05,51.7,3.417204301075269,26.1,51.0,52.2,53.0,52.1,52.8,51.0
2001-06,51.0,3.813333333333333,27.254444444444445,51.7,51.0,52.2,53.7,51.4,51.7
2001-07,51.7,4.61505376344086,30.418279569892473,51.0,51.7,51.0,53.9,49.8,51.6
2001-08,51.6,1.7118279569892472,29.213978494623657,51.7,51.0,51.7,53.0,48.6,51.2
2001-09,51.2,2.341111111111111,24.7,51.6,51.7,51.0,52.2,49.4,51.0
2001-10,51.0,1.1548387096774193,20.333333333333332,51.2,51.6,51.7,51.0,51.2,51.9
2001-11,51.9,1.201111111111111,15.393333333333334,51.0,51.2,51.6,51.7,52.1,52.0
2001-12,52.0,0.5021505376344086,7.319354838709678,51.9,51.0,51.2,51.0,53.7,51.7
2002-01,51.7,0.5935483870967743,7.211827956989247,52.0,51.9,51.0,51.7,53.9,50.4
2002-02,50.4,0.9178571428571428,10.696428571428571,51.7,52.0,51.9,51.6,53.0,49.6
2002-03,49.6,1.3849462365591398,14.710752688172041,50.4,51.7,52.0,51.2,52.2,49.3
2002-04,49.3,1.8344444444444443,21.991111111111113,49.6,50.4,51.7,51.0,51.0,50.2
2002-05,50.2,2.382795698924731,27.416129032258063,49.3,49.6,50.4,51.9,51.7,52.0
2002-06,52.0,2.716666666666667,29.73777777777778,50.2,49.3,49.6,52.0,51.0,54.6
2002-07,54.6,1.921505376344086,32.41182795698925,52.0,50.2,49.3,51.7,51.7,58.1
2002-08,58.1,4.26989247311828,28.4752688172043,54.6,52.0,50.2,50.4,51.6,63.8
2002-09,63.8,3.6777777777777776,24.64888888888889,58.1,54.6,52.0,49.6,51.2,64.4
2002-10,64.4,1.6365591397849462,18.331182795698926,63.8,58.1,54.6,49.3,51.0,63.0
2002-11,63.0,0.3411111111111111,13.525555555555554,64.4,63.8,58.1,50.2,51.9,59.8
2002-12,59.8,0.1913978494623656,6.7870967741935475,63.0,64.4,63.8,52.0,52.0,58.0
2003-01,58.0,1.1806451612903226,4.548387096774194,59.8,63.0,64.4,54.6,51.7,57.8
2003-02,57.8,2.0452380952380955,5.1726190476190474,58.0,59.8,63.0,58.1,50.4,56.5
2003-03,56.5,1.2881720430107526,12.258064516129032,57.8,58.0,59.8,63.8,49.6,56.4
2003-04,56.4,2.0444444444444443,21.08888888888889,56.5,57.8,58.0,64.4,49.3,58.2
2003-05,58.2,1.8408602150537636,28.19139784946237,56.4,56.5,57.8,63.0,50.2,57.7
2003-06,57.7,2.738888888888889,29.344444444444445,58.2,56.4,56.5,59.8,52.0,56.5
2003-07,56.5,4.71505376344086,28.640860215053763,57.7,58.2,56.4,58.0,54.6,59.9
2003-08,59.9,3.586021505376344,28.813978494623655,56.5,57.7,58.2,57.8,58.1,60.5
2003-09,60.5,1.8255555555555556,24.431111111111115,59.9,56.5,57.7,56.5,63.8,60.6
2003-10,60.6,1.3763440860215055,20.274193548387096,60.5,59.9,56.5,56.4,64.4,64.8
2003-11,64.8,1.7811111111111109,12.77,60.6,60.5,59.9,58.2,63.0,65.7
2003-12,65.7,1.2483870967741935,7.964516129032258,64.8,60.6,60.5,57.7,59.8,66.9
2004-01,66.9,1.924731182795699,4.72258064516129,65.7,64.8,60.6,56.5,58.0,67.5
2004-02,67.5,1.1482758620689655,7.367816091954023,66.9,65.7,64.8,59.9,57.8,68.5
2004-03,68.5,1.886021505376344,16.67849462365591,67.5,66.9,65.7,60.5,56.5,70.2
2004-04,70.2,1.591111111111111,22.5,68.5,67.5,66.9,60.6,56.4,68.8
2004-05,68.8,4.0,26.343010752688173,70.2,68.5,67.5,64.8,58.2,66.4
2004-06,66.4,2.172222222222222,27.64,68.8,70.2,68.5,65.7,57.7,60.7
2004-07,60.7,2.793548387096774,29.074193548387097,66.4,68.8,70.2,66.9,56.5,59.1
2004-08,59.1,4.438709677419355,27.055913978494623,60.7,66.4,68.8,67.5,59.9,60.0
2004-09,60.0,1.3555555555555556,26.106666666666666,59.1,60.7,66.4,68.5,60.5,59.3
2004-10,59.3,2.117204301075269,19.370967741935484,60.0,59.1,60.7,70.2,60.6,60.0
2004-11,60.0,1.1955555555555555,13.966666666666667,59.3,60.0,59.1,68.8,64.8,60.5
2004-12,60.5,0.578494623655914,8.964516129032258,60.0,59.3,60.0,66.4,65.7,60.5
2005-01,60.5,1.270967741935484,5.51505376344086,60.5,60.0,59.3,60.7,66.9,60.3
2005-02,60.3,3.0369047619047618,7.597619047619048,60.5,60.5,60.0,59.1,67.5,61.5
2005-03,61.5,1.886021505376344,12.434408602150539,60.3,60.5,60.5,60.0,68.5,59.5
2005-04,59.5,1.5166666666666666,22.171111111111113,61.5,60.3,60.5,59.3,70.2,59.4
2005-05,59.4,1.496774193548387,26.625806451612902,59.5,61.5,60.3,60.0,68.8,60.2
2005-06,60.2,2.6966666666666663,29.855555555555554,59.4,59.5,61.5,60.5,66.4,61.2
2005-07,61.2,3.5870967741935487,29.486021505376343,60.2,59.4,59.5,60.5,60.7,60.9
2005-08,60.9,2.1483870967741936,29.03333333333333,61.2,60.2,59.4,60.3,59.1,61.5
2005-09,61.5,1.7688888888888887,26.974444444444444,60.9,61.2,60.2,61.5,60.0,62.1
2005-10,62.1,0.9967741935483871,20.835483870967742,61.5,60.9,61.2,59.5,59.3,60.6
2005-11,60.6,0.7788888888888889,14.052222222222223,62.1,61.5,60.9,59.4,60.0,61.5
2005-12,61.5,1.0333333333333332,6.764516129032258,60.6,62.1,61.5,60.2,60.5,62.7
2006-01,62.7,0.9505376344086021,6.425806451612903,61.5,60.6,62.1,61.2,60.5,64.8
2006-02,64.8,0.4845238095238096,9.20952380952381,62.7,61.5,60.6,60.9,60.3,63.9
2006-03,63.9,2.679569892473118,13.380645161290323,64.8,62.7,61.5,61.5,61.5,65.1
2006-04,65.1,1.748888888888889,22.834444444444443,63.9,64.8,62.7,62.1,59.5,67.8
2006-05,67.8,1.5763440860215052,26.933333333333334,65.1,63.9,64.8,60.6,59.4,67.8
2006-06,67.8,1.9644444444444447,29.804444444444446,67.8,65.1,63.9,61.5,60.2,69.9
2006-07,69.9,4.029032258064516,30.23763440860215,67.8,67.8,65.1,62.7,61.2,69.6
2006-08,69.6,3.8623655913978494,28.70537634408602,69.9,67.8,67.8,64.8,60.9,72.5
2006-09,72.5,2.126666666666667,24.421111111111113,69.6,69.9,67.8,63.9,61.5,79.9
2006-10,79.9,1.3333333333333333,20.25698924731183,72.5,69.6,69.9,65.1,62.1,85.3
2006-11,85.3,0.851111111111111,14.093333333333334,79.9,72.5,69.6,67.8,60.6,85.4
2006-12,85.4,1.0731182795698924,9.870967741935484,85.3,79.9,72.5,67.8,61.5,85.1
2007-01,85.1,0.846236559139785,7.921505376344086,85.4,85.3,79.9,69.9,62.7,87.0
2007-02,87.0,2.5428571428571427,5.4523809523809526,85.1,85.4,85.3,69.6,64.8,86.4
2007-03,86.4,2.5978494623655912,15.633333333333335,87.0,85.1,85.4,72.5,63.9,85.1
2007-04,85.1,1.3111111111111111,21.506666666666664,86.4,87.0,85.1,79.9,65.1,86.6
2007-05,86.6,1.4279569892473116,29.09784946236559,85.1,86.4,87.0,85.3,67.8,91.9
2007-06,91.9,2.163333333333333,30.24888888888889,86.6,85.1,86.4,85.4,67.8,94.9
2007-07,94.9,2.0193548387096776,31.004301075268817,91.9,86.6,85.1,85.1,69.9,102.1
2007-08,102.1,4.321505376344086,30.298924731182797,94.9,91.9,86.6,87.0,69.6,117.2
2007-09,117.2,2.3033333333333337,26.103333333333335,102.1,94.9,91.9,86.4,72.5,121.3
2007-10,121.3,1.8311827956989248,21.56451612903226,117.2,102.1,94.9,85.1,79.9,121.0
2007-11,121.0,0.8622222222222221,13.571111111111112,121.3,117.2,102.1,86.6,85.3,132.2
2007-12,132.2,1.1225806451612903,6.541935483870968,121.0,121.3,117.2,91.9,85.4,141.0
2008-01,141.0,0.8946236559139785,4.608602150537634,132.2,121.0,121.3,94.9,85.1,160.8
2008-02,160.8,0.9850574712643678,7.4494252873563225,141.0,132.2,121.0,102.1,87.0,163.3
2008-03,163.3,0.9763440860215054,16.593548387096774,160.8,141.0,132.2,117.2,86.4,162.7
2008-04,162.7,3.008888888888889,21.357777777777777,163.3,160.8,141.0,121.3,85.1,157.4
2008-05,157.4,2.1344086021505375,25.863440860215057,162.7,163.3,160.8,121.0,86.6,160.3
2008-06,160.3,4.738888888888889,28.026666666666667,157.4,162.7,163.3,132.2,91.9,148.2
2008-07,148.2,5.202150537634409,28.732258064516127,160.3,157.4,162.7,141.0,94.9,136.5
2008-08,136.5,2.8236559139784947,28.725806451612904,148.2,160.3,157.4,160.8,102.1,125.3
2008-09,125.3,3.5844444444444448,24.34777777777778,136.5,148.2,160.3,163.3,117.2,104.9
2008-10,104.9,1.4978494623655916,20.996774193548386,125.3,136.5,148.2,162.7,121.3,96.0
2008-11,96.0,1.3377777777777777,13.996666666666668,104.9,125.3,136.5,157.4,121.0,95.1
2008-12,95.1,0.9849462365591397,7.765591397849463,96.0,104.9,125.3,160.3,132.2,100.4
2009-01,100.4,0.6516129032258065,4.943010752688172,95.1,96.0,104.9,148.2,141.0,97.2
2009-02,97.2,1.1345238095238095,9.629761904761905,100.4,95.1,96.0,136.5,160.8,97.2
2009-03,97.2,1.8870967741935485,15.097849462365591,97.2,100.4,95.1,125.3,163.3,98.1
2009-04,98.1,1.5555555555555556,21.965555555555557,97.2,97.2,100.4,104.9,162.7,103.3
2009-05,103.3,1.724731182795699,26.829032258064515,98.1,97.2,97.2,96.0,157.4,103.0
2009-06,103.0,2.3944444444444444,31.214444444444446,103.3,98.1,97.2,95.1,160.3,94.5
2009-07,94.5,3.9655913978494626,28.90537634408602,103.0,103.3,98.1,100.4,148.2,91.9
2009-08,91.9,4.234408602150538,27.763440860215052,94.5,103.0,103.3,97.2,136.5,89.8
2009-09,89.8,3.0533333333333337,25.384444444444444,91.9,94.5,103.0,97.2,125.3,93.8
2009-10,93.8,2.3946236559139784,19.1752688172043,89.8,91.9,94.5,98.1,104.9,98.0
2009-11,98.0,0.8544444444444446,14.906666666666666,93.8,89.8,91.9,103.3,96.0,99.0
2009-12,99.0,1.7612903225806453,6.473118279569892,98.0,93.8,89.8,103.0,95.1,98.4
2010-01,98.4,0.9881720430107528,2.349462365591398,99.0,98.0,93.8,94.5,100.4,94.0
2010-02,94.0,1.4523809523809523,6.440476190476191,98.4,99.0,98.0,91.9,97.2,91.8
2010-03,91.8,0.9376344086021505,15.536559139784947,94.0,98.4,99.0,89.8,97.2,90.7
2010-04,90.7,1.3388888888888888,24.056666666666665,91.8,94.0,98.4,93.8,98.1,90.6
2010-05,90.6,2.3161290322580648,27.686021505376345,90.7,91.8,94.0,98.0,103.3,87.8
2010-06,87.8,2.988888888888889,30.97888888888889,90.6,90.7,91.8,99.0,103.0,95.3
2010-07,95.3,6.053763440860215,29.922580645161293,87.8,90.6,90.7,98.4,94.5,112.9
2010-08,112.9,4.455913978494624,30.46989247311828,95.3,87.8,90.6,94.0,91.9,125.9
2010-09,125.9,3.9277777777777776,24.331111111111113,112.9,95.3,87.8,91.8,89.8,130.6
2010-10,130.6,0.7989247311827957,19.806451612903224,125.9,112.9,95.3,90.7,93.8,132.4
2010-11,132.4,1.0,16.164444444444445,130.6,125.9,112.9,90.6,98.0,139.7
2010-12,139.7,1.156989247311828,6.508602150537634,132.4,130.6,125.9,87.8,99.0,144.9
2011-01,144.9,0.9774193548387098,3.7376344086021507,139.7,132.4,130.6,95.3,98.4,151.4
2011-02,151.4,1.2571428571428571,5.963095238095238,144.9,139.7,132.4,112.9,94.0,145.5
2011-03,145.5,1.0440860215053764,14.225806451612904,151.4,144.9,139.7,125.9,91.8,151.7
2011-04,151.7,2.174444444444444,20.615555555555556,145.5,151.4,144.9,130.6,90.7,150.9
2011-05,150.9,1.8032258064516127,27.27204301075269,151.7,145.5,151.4,132.4,90.6,147.1
2011-06,147.1,5.238888888888889,29.23111111111111,150.9,151.7,145.5,139.7,87.8,140.5
2011-07,140.5,2.389247311827957,30.429032258064517,147.1,150.9,151.7,144.9,95.3,144.9
2011-08,144.9,3.643010752688172,28.023655913978494,140.5,147.1,150.9,151.4,112.9,140.5
2011-09,140.5,2.1644444444444444,24.705555555555556,144.9,140.5,147.1,145.5,125.9,133.1
2011-10,133.1,0.41935483870967744,20.729032258064514,140.5,144.9,140.5,151.7,130.6,130.9
2011-11,130.9,0.6622222222222223,14.093333333333334,133.1,140.5,144.9,150.9,132.4,124.4
2011-12,124.4,1.4193548387096775,9.925806451612903,130.9,133.1,140.5,147.1,139.7,127.2
2012-01,127.2,1.539784946236559,6.170967741935484,124.4,130.9,133.1,140.5,144.9,131.1
2012-02,131.1,1.1597701149425288,5.894252873563218,127.2,124.4,130.9,144.9,151.4,130.6
2012-03,130.6,1.6870967741935485,16.723655913978494,131.1,127.2,124.4,140.5,145.5,129.1
2012-04,129.1,1.51,22.894444444444446,130.6,131.1,127.2,133.1,151.7,126.3
2012-05,126.3,1.0913978494623655,29.337634408602153,129.1,130.6,131.1,130.9,150.9,125.3
2012-06,125.3,1.2422222222222221,32.065555555555555,126.3,129.1,130.6,124.4,147.1,143.9
2012-07,143.9,1.821505376344086,32.80967741935484,125.3,126.3,129.1,127.2,140.5,147.1
2012-08,147.1,3.9021505376344083,29.147311827956987,143.9,125.3,126.3,131.1,144.9,146.8
2012-09,146.8,1.9211111111111112,26.202222222222222,147.1,143.9,125.3,130.6,140.5,146.5
2012-10,146.5,1.4548387096774191,20.608602150537635,146.8,147.1,143.9,129.1,133.1,148.5
2012-11,148.5,0.6122222222222222,14.622222222222222,146.5,146.8,147.1,126.3,130.9,146.4
2012-12,146.4,1.272043010752688,7.065591397849462,148.5,146.5,146.8,125.3,124.4,145.2
2013-01,145.2,1.2247311827956988,5.867741935483871,146.4,148.5,146.5,143.9,127.2,142.3
2013-02,142.3,2.5976190476190473,8.22857142857143,145.2,146.4,148.5,147.1,131.1,139.9
2013-03,139.9,1.7010752688172042,11.296774193548385,142.3,145.2,146.4,146.8,130.6,134.9
2013-04,134.9,2.3722222222222222,20.806666666666665,139.9,142.3,145.2,146.5,129.1,136.4
2013-05,136.4,3.2408602150537633,28.17849462365591,134.9,139.9,142.3,148.5,126.3,133.8
2013-06,133.8,3.095555555555556,29.587777777777777,136.4,134.9,139.9,146.4,125.3,126.4
2013-07,126.4,1.8935483870967742,29.081720430107527,133.8,136.4,134.9,145.2,143.9,119.2
2013-08,119.2,2.8096774193548386,28.548387096774192,126.4,133.8,136.4,142.3,147.1,116.7
2013-09,116.7,2.221111111111111,25.22555555555556,119.2,126.4,133.8,139.9,146.8,118.7
2013-10,118.7,1.3440860215053763,19.982795698924733,116.7,119.2,126.4,134.9,146.5,118.0
2013-11,118.0,0.8166666666666667,14.04,118.7,116.7,119.2,136.4,148.5,117.9
2013-12,117.9,0.5602150537634408,6.811827956989247,118.0,118.7,116.7,133.8,146.4,117.0
2014-01,117.0,1.1268817204301076,4.520430107526882,117.9,118.0,118.7,126.4,145.2,119.7
2014-02,119.7,1.305952380952381,5.932142857142857,117.0,117.9,118.0,119.2,142.3,125.4
2014-03,125.4,1.610752688172043,13.908602150537634,119.7,117.0,117.9,116.7,139.9,125.5
2014-04,125.5,2.95,20.464444444444442,125.4,119.7,117.0,118.7,134.9,125.2
